Period,Transaction cost (%),Ticker,Drop threshold (%),Holding period,Number of big drop days,Average return after costs (%),Benchmark average return (%),Edge vs benchmark after costs (%),Win rate after costs (%),Best return after costs (%),Worst return after costs (%),Average winning trade after costs (%),Average losing trade after costs (%),Risk-adjusted score after costs
2015-2019,0.25,DIA,-1.5,1,58,-0.1,0.05,-0.15,51.72,4.61,-4.82,1.12,-1.4,-0.104
2015-2019,0.25,DIA,-1.5,3,58,0.27,0.15,0.12,60.34,5.43,-8.02,1.82,-2.08,0.058
2015-2019,0.25,DIA,-1.5,5,58,0.54,0.25,0.29,65.52,6.75,-7.75,1.98,-2.19,0.132
2015-2019,0.5,DIA,-1.5,1,58,-0.35,0.05,-0.4,43.1,4.36,-5.07,1.08,-1.42,-0.278
2015-2019,0.5,DIA,-1.5,3,58,0.02,0.15,-0.13,53.45,5.18,-8.27,1.78,-2.0,-0.065
2015-2019,0.5,DIA,-1.5,5,58,0.29,0.25,0.04,60.34,6.5,-8.0,1.89,-2.14,0.018
2015-2019,0.0,DIA,-2.0,1,30,0.23,0.05,0.18,66.67,4.86,-4.57,1.33,-1.99,0.089
2015-2019,0.0,DIA,-2.0,3,30,0.64,0.15,0.49,53.33,5.68,-7.77,2.66,-1.66,0.295
2015-2019,0.0,DIA,-2.0,5,30,1.03,0.25,0.77,70.0,7.0,-7.5,2.52,-2.46,0.313
2015-2019,0.1,DIA,-2.0,1,30,0.13,0.05,0.08,63.33,4.76,-4.67,1.3,-1.9,0.041
2015-2019,0.1,DIA,-2.0,3,30,0.54,0.15,0.39,53.33,5.58,-7.87,2.56,-1.76,0.222
2015-2019,0.1,DIA,-2.0,5,30,0.93,0.25,0.67,70.0,6.9,-7.6,2.42,-2.56,0.262
2015-2019,0.25,DIA,-2.0,1,30,-0.02,0.05,-0.07,56.67,4.61,-4.82,1.29,-1.74,-0.042
2015-2019,0.25,DIA,-2.0,3,30,0.39,0.15,0.24,53.33,5.43,-8.02,2.41,-1.91,0.126
2015-2019,0.25,DIA,-2.0,5,30,0.78,0.25,0.52,66.67,6.75,-7.75,2.38,-2.44,0.213
