Period,Transaction cost (%),Ticker,Category,Universe,Drop threshold (%),Holding period,Number of big drop days,Average return after costs (%),Benchmark average return (%),Edge vs benchmark after costs (%),Win rate after costs (%),Best return after costs (%),Worst return after costs (%),Average winning trade after costs (%),Average losing trade after costs (%),Risk-adjusted score after costs
2020-2024,0.25,IWM,Broad Index,Core,-2.0,3,107,-0.27,0.13,-0.4,48.6,12.61,-17.93,3.16,-3.5,-0.113
2020-2024,0.25,IWM,Broad Index,Core,-2.0,5,107,-0.29,0.22,-0.51,50.47,14.8,-24.25,3.78,-4.44,-0.114
2020-2024,0.5,IWM,Broad Index,Core,-2.0,1,107,-0.45,0.04,-0.5,40.19,7.16,-11.55,1.63,-1.85,-0.267
2020-2024,0.5,IWM,Broad Index,Core,-2.0,3,107,-0.52,0.13,-0.65,45.79,12.36,-18.18,3.09,-3.56,-0.181
2020-2024,0.5,IWM,Broad Index,Core,-2.0,5,107,-0.54,0.22,-0.76,46.73,14.55,-24.5,3.82,-4.37,-0.173
2020-2024,0.0,IWM,Broad Index,Core,-2.5,1,67,0.01,0.04,-0.03,49.25,7.66,-11.05,2.0,-1.92,-0.018
2020-2024,0.0,IWM,Broad Index,Core,-2.5,3,67,-0.76,0.13,-0.89,43.28,12.86,-17.68,3.19,-3.77,-0.235
2020-2024,0.0,IWM,Broad Index,Core,-2.5,5,67,-0.67,0.22,-0.89,49.25,15.05,-24.0,3.78,-4.99,-0.178
2020-2024,0.1,IWM,Broad Index,Core,-2.5,1,67,-0.09,0.04,-0.13,47.76,7.56,-11.15,1.96,-1.97,-0.068
2020-2024,0.1,IWM,Broad Index,Core,-2.5,3,67,-0.86,0.13,-0.99,41.79,12.76,-17.78,3.2,-3.77,-0.262
2020-2024,0.1,IWM,Broad Index,Core,-2.5,5,67,-0.77,0.22,-0.99,49.25,14.95,-24.1,3.68,-5.09,-0.194
2020-2024,0.25,IWM,Broad Index,Core,-2.5,1,67,-0.24,0.04,-0.28,46.27,7.41,-11.3,1.87,-2.06,-0.138
2020-2024,0.25,IWM,Broad Index,Core,-2.5,3,67,-1.01,0.13,-1.14,38.81,12.61,-17.93,3.28,-3.73,-0.305
2020-2024,0.25,IWM,Broad Index,Core,-2.5,5,67,-0.92,0.22,-1.14,47.76,14.8,-24.25,3.64,-5.09,-0.224
2020-2024,0.5,IWM,Broad Index,Core,-2.5,1,67,-0.49,0.04,-0.53,40.3,7.16,-11.55,1.89,-2.1,-0.255
2020-2024,0.5,IWM,Broad Index,Core,-2.5,3,67,-1.26,0.13,-1.39,35.82,12.36,-18.18,3.3,-3.8,-0.365
2020-2024,0.5,IWM,Broad Index,Core,-2.5,5,67,-1.17,0.22,-1.39,43.28,14.55,-24.5,3.75,-4.93,-0.282
2020-2024,0.0,IWM,Broad Index,Core,-3.0,1,42,-0.17,0.04,-0.22,50.0,6.7,-11.05,1.72,-2.06,-0.105
